epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
101,0.3282,0.6949,0.817,0.8126,0.6774,0.8053,0.81,0.7774,0.8754,0.8741,0.8424,0.9173,0.9117,0.6598,0.7742,0.8171,0.7314,0.8422,0.8475,0.481,0.6875,0.6155
102,0.2956,0.7276,0.8415,0.8353,0.6953,0.8248,0.8158,0.7955,0.8863,0.8859,0.8583,0.923,0.9245,0.731,0.8397,0.8495,0.7501,0.8514,0.8631,0.5355,0.7239,0.673
103,0.2948,0.7306,0.8435,0.8372,0.6958,0.8241,0.8173,0.7942,0.8869,0.8836,0.8567,0.921,0.9246,0.7541,0.8511,0.8688,0.751,0.8525,0.8632,0.5317,0.7253,0.6658
104,0.2875,0.7385,0.8469,0.8445,0.7,0.8287,0.8184,0.7992,0.8909,0.8858,0.8613,0.9232,0.9277,0.7806,0.855,0.8997,0.7532,0.8518,0.8668,0.5367,0.7314,0.6684
105,0.289,0.7336,0.8448,0.8402,0.6979,0.8267,0.8175,0.8,0.8921,0.8858,0.8612,0.9225,0.9284,0.7494,0.8458,0.868,0.7527,0.8521,0.8658,0.5404,0.7297,0.6757
106,0.2868,0.7333,0.8463,0.8385,0.7002,0.8303,0.8171,0.7985,0.8902,0.8857,0.8633,0.9242,0.9291,0.739,0.8455,0.8543,0.7559,0.852,0.8701,0.5429,0.7356,0.6745
107,0.2835,0.7407,0.8507,0.8442,0.7037,0.8296,0.8226,0.8025,0.8932,0.8877,0.8646,0.925,0.9298,0.7689,0.8573,0.8818,0.7563,0.8552,0.8675,0.5482,0.7441,0.6756
108,0.2852,0.7398,0.8503,0.8427,0.701,0.8285,0.82,0.8021,0.893,0.8874,0.8639,0.9251,0.9289,0.7756,0.8686,0.8787,0.7547,0.8527,0.8678,0.5412,0.7338,0.6734
109,0.2843,0.7328,0.8486,0.8357,0.7042,0.8313,0.8216,0.8011,0.8916,0.8875,0.865,0.9252,0.9301,0.7299,0.8513,0.8365,0.754,0.8524,0.8673,0.5429,0.7396,0.6712
110,0.2796,0.7415,0.851,0.8447,0.7044,0.8323,0.8208,0.8044,0.8951,0.8881,0.8677,0.9264,0.932,0.7675,0.8591,0.878,0.7584,0.8537,0.8717,0.5467,0.7392,0.6773
111,0.282,0.7436,0.852,0.8465,0.7053,0.832,0.8225,0.8041,0.8941,0.8888,0.8666,0.9262,0.9309,0.7756,0.8654,0.882,0.758,0.8552,0.8696,0.5516,0.7387,0.6853
112,0.2795,0.743,0.8511,0.8466,0.7073,0.832,0.8252,0.805,0.8954,0.8886,0.867,0.9267,0.9309,0.7736,0.8567,0.8886,0.7575,0.8551,0.869,0.5477,0.7408,0.6776
113,0.2792,0.7429,0.8517,0.8459,0.7066,0.8322,0.8241,0.8048,0.8948,0.8888,0.8666,0.9264,0.9307,0.7721,0.8638,0.8791,0.7578,0.8552,0.8693,0.5498,0.7378,0.6832
