epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
101,0.2712,0.7357,0.8467,0.8409,0.7459,0.8453,0.8639,0.8097,0.8948,0.895,0.8809,0.9335,0.9399,0.5675,0.748,0.7016,0.6485,0.7997,0.7742,0.7617,0.8589,0.8706
102,0.269,0.7368,0.8473,0.8417,0.7469,0.8463,0.8641,0.8107,0.8955,0.8954,0.8826,0.934,0.9413,0.5684,0.748,0.703,0.6498,0.8007,0.7752,0.7626,0.8593,0.8714
103,0.2689,0.7365,0.8471,0.8415,0.7474,0.8465,0.8645,0.8108,0.8955,0.8955,0.8824,0.934,0.9412,0.5663,0.7457,0.7019,0.6493,0.8006,0.7745,0.763,0.86,0.8711
104,0.27,0.7368,0.8471,0.8419,0.747,0.8458,0.8647,0.8108,0.8962,0.8948,0.8815,0.9335,0.9405,0.5684,0.7473,0.7037,0.6499,0.8006,0.7754,0.7635,0.8593,0.8725
105,0.2687,0.7374,0.848,0.842,0.7476,0.8464,0.8649,0.811,0.8961,0.8951,0.8816,0.9332,0.9411,0.5718,0.7528,0.7039,0.6503,0.8007,0.7759,0.7622,0.859,0.8712
106,0.269,0.7372,0.8473,0.8423,0.747,0.8462,0.8643,0.811,0.896,0.8953,0.8822,0.934,0.9409,0.5702,0.7477,0.7061,0.6505,0.8012,0.7756,0.7622,0.8586,0.8716
107,0.2682,0.7379,0.8478,0.8427,0.7478,0.8468,0.8648,0.8115,0.896,0.8959,0.882,0.9343,0.9404,0.5711,0.7489,0.7064,0.651,0.8014,0.7763,0.7636,0.8596,0.8724
108,0.269,0.7376,0.8477,0.8425,0.748,0.847,0.8648,0.811,0.8959,0.8954,0.8829,0.9341,0.9415,0.5707,0.7497,0.7049,0.6501,0.8006,0.7756,0.7631,0.8585,0.8729
109,0.2687,0.7379,0.8482,0.8424,0.7481,0.8465,0.8655,0.8118,0.8963,0.8959,0.8829,0.9344,0.9413,0.5704,0.7498,0.7044,0.6513,0.8023,0.7759,0.7628,0.8597,0.8712
110,0.2677,0.7382,0.8482,0.8427,0.7479,0.8469,0.8648,0.8123,0.897,0.8958,0.884,0.9347,0.9422,0.571,0.7506,0.7047,0.6513,0.8009,0.7772,0.7626,0.8591,0.8717
