epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
101,0.3432,0.6592,0.7935,0.7852,0.6426,0.7917,0.7734,0.7501,0.8542,0.8602,0.8058,0.8979,0.887,0.5328,0.6911,0.6993,0.7213,0.8241,0.8525,0.5026,0.7022,0.6388
102,0.3454,0.6511,0.786,0.7786,0.6417,0.7901,0.7735,0.7504,0.8533,0.8616,0.805,0.8977,0.8863,0.4824,0.6415,0.6604,0.7209,0.8259,0.8501,0.5059,0.7075,0.6397
103,0.3455,0.6598,0.7942,0.7858,0.6394,0.792,0.7684,0.7501,0.852,0.8625,0.8065,0.8985,0.8874,0.5382,0.6951,0.7046,0.7199,0.8228,0.852,0.5048,0.705,0.64
104,0.3425,0.6609,0.7938,0.7877,0.6437,0.7907,0.7759,0.7516,0.8556,0.8609,0.8062,0.8985,0.887,0.5325,0.6839,0.7064,0.722,0.826,0.8515,0.5093,0.7079,0.6448
105,0.345,0.6612,0.7974,0.785,0.6378,0.7885,0.7695,0.7504,0.8534,0.8615,0.8061,0.8982,0.8871,0.5479,0.7142,0.7018,0.7193,0.823,0.8509,0.5055,0.7073,0.6391
106,0.3443,0.6568,0.7913,0.7831,0.6414,0.7907,0.7726,0.7516,0.8541,0.8623,0.8074,0.8991,0.8878,0.5142,0.6739,0.6845,0.7211,0.8251,0.8512,0.505,0.7049,0.6404
107,0.3446,0.6583,0.7918,0.7856,0.6411,0.7906,0.7723,0.7505,0.8536,0.8615,0.807,0.8995,0.887,0.525,0.6744,0.7033,0.7213,0.8246,0.852,0.5047,0.7079,0.6374
108,0.3445,0.6623,0.7954,0.7887,0.639,0.7888,0.7709,0.7516,0.8541,0.8623,0.8064,0.899,0.8867,0.548,0.699,0.7173,0.7212,0.825,0.8514,0.5078,0.7065,0.6436
109,0.3439,0.6612,0.7946,0.7877,0.6439,0.7924,0.7745,0.7515,0.8532,0.863,0.8073,0.8995,0.8874,0.5402,0.6858,0.7178,0.7201,0.825,0.8499,0.5044,0.7118,0.6338
110,0.3411,0.6622,0.7949,0.7888,0.6408,0.7914,0.771,0.7529,0.8549,0.8632,0.8091,0.9009,0.8881,0.54,0.6866,0.7166,0.7216,0.8238,0.8533,0.5087,0.7118,0.6406
