epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
101,0.1231,0.871,0.9308,0.9297,0.8679,0.9285,0.9301,0.9074,0.9525,0.9503,0.961,0.9775,0.9827,0.8094,0.9031,0.8864,0.8216,0.9033,0.9008,0.8589,0.9201,0.9281
102,0.1249,0.8704,0.9305,0.9294,0.8689,0.9294,0.9303,0.9066,0.952,0.95,0.9602,0.9772,0.9823,0.8064,0.9012,0.8846,0.8227,0.9035,0.9019,0.8577,0.9196,0.9272
103,0.1232,0.8712,0.9311,0.9297,0.8694,0.9292,0.9311,0.9068,0.9522,0.9501,0.9605,0.9772,0.9825,0.809,0.9032,0.8858,0.823,0.9045,0.9014,0.8587,0.9204,0.9276
104,0.1223,0.8722,0.9315,0.9304,0.869,0.9296,0.9301,0.9076,0.9524,0.9508,0.9612,0.9776,0.9829,0.8125,0.905,0.8882,0.824,0.9044,0.9026,0.8589,0.9202,0.928
105,0.1225,0.8729,0.9319,0.9309,0.87,0.9299,0.9311,0.9082,0.9529,0.9508,0.9616,0.9778,0.983,0.8131,0.9048,0.8892,0.8246,0.905,0.9027,0.8599,0.9211,0.9283
106,0.1216,0.8735,0.9324,0.931,0.8708,0.9305,0.9313,0.9089,0.9531,0.9515,0.9616,0.9778,0.983,0.8134,0.906,0.8884,0.8255,0.9053,0.9035,0.8606,0.9218,0.9284
107,0.1226,0.8729,0.932,0.9309,0.8703,0.93,0.9312,0.908,0.9528,0.9507,0.9612,0.9777,0.9828,0.8142,0.9056,0.8897,0.8249,0.9051,0.9029,0.859,0.9206,0.9278
108,0.121,0.8737,0.9326,0.9311,0.8715,0.9305,0.9322,0.9087,0.9529,0.9513,0.9616,0.978,0.9828,0.8145,0.9071,0.8886,0.8264,0.9062,0.9036,0.8595,0.9209,0.928
109,0.1216,0.8734,0.9321,0.9313,0.8708,0.9303,0.9316,0.909,0.9535,0.9512,0.9614,0.9778,0.9829,0.8137,0.9051,0.8896,0.8258,0.9056,0.9036,0.8597,0.9205,0.9287
110,0.1205,0.8748,0.933,0.932,0.8718,0.9309,0.9321,0.9093,0.9534,0.9515,0.962,0.9782,0.9831,0.8175,0.9066,0.8927,0.8274,0.9068,0.9043,0.8609,0.9221,0.9284
