epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
101,0.1774,0.8544,0.9206,0.9197,0.8336,0.9112,0.9073,0.8918,0.944,0.9416,0.9355,0.9656,0.9677,0.8907,0.9365,0.948,0.8442,0.9128,0.9182,0.7309,0.8536,0.8356
102,0.176,0.8542,0.9205,0.9197,0.8336,0.9119,0.9066,0.8908,0.943,0.9414,0.9339,0.9651,0.9666,0.89,0.9349,0.9489,0.8467,0.9137,0.9203,0.7305,0.8543,0.8345
103,0.1764,0.8557,0.9212,0.9206,0.8331,0.9118,0.9061,0.8916,0.9438,0.9416,0.9347,0.965,0.9675,0.8957,0.9394,0.9506,0.8465,0.9137,0.9201,0.7324,0.8537,0.8375
104,0.1764,0.8537,0.9217,0.9177,0.8365,0.9137,0.9082,0.8911,0.9436,0.9412,0.9343,0.9649,0.9671,0.8871,0.9431,0.9373,0.8481,0.914,0.9217,0.7252,0.8507,0.831
105,0.1776,0.8545,0.9218,0.9186,0.8352,0.9121,0.9083,0.8909,0.9436,0.941,0.9339,0.9648,0.9669,0.8913,0.9439,0.9411,0.8474,0.9145,0.9204,0.7286,0.8519,0.8342
106,0.1761,0.8567,0.9224,0.9205,0.8361,0.914,0.9076,0.8923,0.9439,0.9423,0.9354,0.9654,0.9679,0.8956,0.9442,0.9457,0.8484,0.9146,0.9214,0.732,0.8525,0.8382
107,0.1734,0.8585,0.9231,0.922,0.8384,0.914,0.9102,0.8925,0.9442,0.9422,0.9354,0.9657,0.9675,0.9006,0.9424,0.9531,0.8498,0.9162,0.9214,0.7342,0.8561,0.8375
108,0.1751,0.8562,0.9214,0.9211,0.8353,0.9129,0.9076,0.8907,0.9434,0.941,0.9343,0.9648,0.9672,0.897,0.9392,0.9523,0.8489,0.9152,0.9214,0.7313,0.8529,0.8368
109,0.1749,0.8552,0.9218,0.9194,0.8378,0.915,0.9085,0.8922,0.9441,0.9419,0.9348,0.965,0.9675,0.8902,0.9406,0.9432,0.8484,0.9142,0.9219,0.7279,0.852,0.8333
110,0.1725,0.8578,0.9227,0.9215,0.838,0.914,0.9097,0.8924,0.9446,0.9418,0.9361,0.9662,0.9678,0.898,0.9422,0.9504,0.85,0.9155,0.9224,0.7324,0.854,0.8372
111,0.1743,0.8558,0.9212,0.9209,0.8372,0.9141,0.9087,0.893,0.9447,0.9422,0.9354,0.9652,0.9681,0.8886,0.9329,0.9493,0.8498,0.9158,0.9219,0.7308,0.8542,0.8349
112,0.1727,0.8579,0.9233,0.9212,0.8391,0.9139,0.9112,0.8931,0.9449,0.9421,0.9359,0.9662,0.9676,0.8917,0.9432,0.9424,0.8505,0.9165,0.9219,0.7369,0.8549,0.8422
113,0.1739,0.8563,0.9234,0.9192,0.8388,0.9152,0.9096,0.8926,0.9438,0.9426,0.9356,0.9658,0.9677,0.888,0.9441,0.9374,0.8511,0.9163,0.9228,0.7315,0.8551,0.8351
114,0.1739,0.8582,0.9231,0.9217,0.8372,0.9133,0.9095,0.8932,0.9447,0.9425,0.9356,0.9658,0.9676,0.9007,0.9447,0.9509,0.8478,0.915,0.9203,0.7347,0.8549,0.8393
115,0.173,0.8584,0.9222,0.9227,0.8387,0.9153,0.9093,0.8939,0.9454,0.9426,0.9364,0.966,0.9683,0.8979,0.9393,0.9533,0.8496,0.9149,0.9225,0.7338,0.8526,0.8404
116,0.172,0.8597,0.9237,0.9229,0.8409,0.9156,0.9116,0.8946,0.9452,0.9435,0.936,0.9659,0.968,0.8982,0.9414,0.9514,0.8522,0.9179,0.9225,0.7363,0.8563,0.8402
117,0.175,0.8577,0.9234,0.9208,0.8381,0.9144,0.9095,0.8926,0.9445,0.942,0.9354,0.9656,0.9676,0.8982,0.9433,0.9495,0.8494,0.915,0.9221,0.7327,0.8579,0.834
